English Word	Valence	Arousal	Dominance	Gujarati Word
onboard	0.612	0.451	0.491	ઓનબોર્ડ
oncologist	0.260	0.654	0.640	ઓન્કોલોજિસ્ટ
oncology	0.204	0.424	0.500	ઓન્કોલોજી
oncoming	0.594	0.625	0.773	આવનાર
one	0.542	0.292	0.370	એક
oneday	0.667	0.245	0.374	એક દિવસ
onedge	0.479	0.552	0.400	ધાર પર
onelove	0.816	0.577	0.541	એક પ્રેમ
oneness	0.745	0.272	0.720	એકતા
onerous	0.500	0.480	0.462	કઠોર
oneself	0.660	0.337	0.483	પોતાને
ongoing	0.674	0.484	0.556	ચાલુ
onion	0.378	0.367	0.382	ડુંગળી
onset	0.673	0.497	0.500	શરૂઆત
onslaught	0.198	0.939	0.717	આક્રમણ
onstage	0.719	0.673	0.583	મંચ પર
ontology	0.510	0.450	0.518	ઓન્ટોલોજી
onus	0.562	0.520	0.769	જવાબદારી
onward	0.667	0.538	0.741	આગળ
onyx	0.571	0.461	0.380	ઓનીક્સ
oodles	0.490	0.374	0.446	ઓડલ્સ
oomph	0.449	0.613	0.315	oomph
ooze	0.344	0.577	0.333	સ્રાવ
oozing	0.238	0.515	0.427	ઝરવું
op	0.480	0.402	0.349	op
opacity	0.471	0.251	0.256	અસ્પષ્ટતા
opal	0.623	0.479	0.379	ઓપલ
opaque	0.344	0.265	0.342	અપારદર્શક
ope	0.375	0.380	0.395	ખુલ્લું
open	0.620	0.480	0.569	ખુલ્લા
opener	0.584	0.526	0.377	ઓપનર
opening	0.667	0.510	0.620	ઉદઘાટન
openly	0.603	0.388	0.553	ખુલ્લેઆમ
openness	0.837	0.561	0.667	નિખાલસતા
opera	0.714	0.500	0.483	ઓપેરા
operate	0.582	0.690	0.691	કામ
operatic	0.375	0.452	0.627	ઓપરેટિક
operation	0.475	0.611	0.755	કામગીરી
operational	0.562	0.570	0.679	ઓપરેશનલ
operations	0.480	0.549	0.798	કામગીરી
operative	0.541	0.635	0.718	ઓપરેટિવ
operator	0.612	0.630	0.726	ઓપરેટર
ophthalmic	0.427	0.385	0.444	નેત્ર
ophthalmologist	0.552	0.389	0.491	નેત્ર ચિકિત્સક
opiate	0.281	0.594	0.598	અફીણ
opinion	0.594	0.482	0.638	અભિપ્રાય
opinionated	0.156	0.800	0.491	અભિપ્રાયિત
opium	0.276	0.490	0.333	અફીણ
opponent	0.080	0.741	0.716	વિરોધી
opportune	0.796	0.538	0.767	તક
opportunism	0.571	0.752	0.673	તકવાદ
opportunity	0.938	0.745	0.833	તક
oppose	0.431	0.800	0.473	વિરોધ
opposed	0.092	0.460	0.606	વિરોધ
opposing	0.188	0.660	0.518	વિરોધ
opposite	0.235	0.545	0.408	વિરુદ્ધ
opposites	0.281	0.518	0.462	વિરોધી
opposition	0.135	0.729	0.592	વિરોધ
oppress	0.186	0.654	0.555	જુલમ
oppressed	0.119	0.640	0.259	દલિત
oppression	0.080	0.673	0.615	જુલમ
oppressive	0.276	0.590	0.667	દમનકારી
oppressor	0.160	0.776	0.629	જુલમ કરનાર
ops	0.417	0.550	0.528	ઓપ્સ
opt	0.510	0.471	0.345	પસંદ કરો
optic	0.663	0.384	0.594	ઓપ્ટિક
optical	0.677	0.311	0.542	ઓપ્ટિકલ
optics	0.562	0.286	0.580	ઓપ્ટિક્સ
optimism	0.949	0.565	0.814	આશાવાદ
optimist	0.875	0.539	0.787	આશાવાદી
optimistic	0.979	0.580	0.821	આશાવાદી
optimum	0.892	0.469	0.808	શ્રેષ્ઠ
option	0.512	0.427	0.359	વિકલ્પ
optional	0.755	0.350	0.440	વૈકલ્પિક
optionally	0.365	0.405	0.481	વૈકલ્પિક રીતે
options	0.622	0.327	0.473	વિકલ્પો
optometrist	0.446	0.455	0.668	ઑપ્ટોમેટ્રિસ્ટ
opulence	0.620	0.615	0.648	ઐશ્વર્ય
opulent	0.562	0.660	0.660	ભવ્ય
opus	0.458	0.368	0.391	ઓપસ
oracle	0.552	0.531	0.670	ઓરેકલ
oral	0.530	0.448	0.375	મૌખિક
orange	0.646	0.132	0.296	નારંગી
orange juice	0.719	0.343	0.445	નારંગીનો રસ
orangutan	0.430	0.560	0.471	ઓરંગુટાન
oration	0.646	0.315	0.683	વક્તૃત્વ
orator	0.667	0.375	0.682	વક્તા
oratory	0.602	0.472	0.693	વકતૃત્વ
orb	0.463	0.370	0.444	ઓર્બ
orbit	0.561	0.422	0.575	ભ્રમણકક્ષા
orbital	0.458	0.451	0.559	ભ્રમણકક્ષા
orbiting	0.520	0.643	0.554	પરિભ્રમણ
orbs	0.469	0.355	0.482	orbs
orc	0.240	0.510	0.388	orc
orchard	0.760	0.269	0.333	ઓર્ચાર્ડ
orchestra	0.708	0.500	0.664	ઓર્કેસ્ટ્રા
orchid	0.840	0.345	0.382	ઓર્કિડ
ordained	0.735	0.409	0.731	નિયુક્ત
ordeal	0.344	0.539	0.529	અગ્નિપરીક્ષા
order	0.780	0.295	0.814	ઓર્ડર
orderly	0.844	0.240	0.661	વ્યવસ્થિત
ordinance	0.615	0.452	0.776	વટહુકમ
ordinary	0.375	0.312	0.286	સામાન્ય
ordination	0.688	0.490	0.765	ઓર્ડિનેશન
ordnance	0.354	0.825	0.679	ઓર્ડનન્સ
ore	0.500	0.333	0.356	અયસ્ક
oregano	0.596	0.327	0.250	ઓરેગાનો
organ	0.510	0.469	0.538	અંગ
organic	0.719	0.343	0.535	કાર્બનિક
organism	0.457	0.559	0.800	સજીવ
organist	0.740	0.469	0.669	ઓર્ગેનિસ્ટ
organization	0.810	0.535	0.851	સંસ્થા
organize	0.802	0.655	0.781	ગોઠવો
organized	0.816	0.337	0.746	આયોજન
organizer	0.604	0.577	0.846	આયોજક
orgasm	0.844	0.863	0.676	ઉગ્ર ઉત્તેજનાનો અતિરેક
orgies	0.388	0.953	0.433	ઓર્ગીઝ
orgy	0.346	0.962	0.536	ઓર્ગી
orient	0.667	0.422	0.667	ઓરિએન્ટ
oriental	0.592	0.409	0.598	પ્રાચ્ય
orientation	0.667	0.454	0.686	ઓરિએન્ટેશન
orifice	0.448	0.355	0.443	ઓરિફિસ
origami	0.684	0.276	0.294	ઓરિગામિ
origin	0.729	0.435	0.591	મૂળ
original	0.765	0.480	0.746	મૂળ
originality	0.898	0.500	0.824	મૌલિક્તા
originate	0.702	0.500	0.866	ઉત્પત્તિ
origination	0.760	0.443	0.604	ઉત્પત્તિ
originator	0.592	0.510	0.868	પ્રવર્તક
ornament	0.561	0.373	0.441	આભૂષણ
ornamental	0.663	0.392	0.460	સુશોભન
ornamentation	0.663	0.471	0.472	સુશોભન
ornamented	0.677	0.350	0.490	શણગારેલું
ornate	0.812	0.356	0.500	અલંકૃત
ornery	0.361	0.520	0.509	ઓર્નરી
orphan	0.133	0.388	0.140	અનાથ
orphanage	0.184	0.439	0.425	અનાથાશ્રમ
orphaned	0.062	0.430	0.228	અનાથ
orthodontist	0.469	0.615	0.564	ઓર્થોડોન્ટિસ્ટ
orthodox	0.388	0.471	0.647	રૂઢિચુસ્ત
orthodoxy	0.271	0.388	0.612	રૂઢિચુસ્તતા
orthogonal	0.500	0.314	0.540	ઓર્થોગોનલ
orthopedic	0.406	0.346	0.473	ઓર્થોપેડિક
oscillate	0.449	0.580	0.397	ઓસીલેટ
oscillating	0.469	0.548	0.402	ઓસીલેટીંગ
oscillation	0.562	0.433	0.431	ઓસિલેશન
oscillatory	0.375	0.520	0.480	ઓસીલેટરી
ostensible	0.542	0.549	0.585	દેખીતું
ostensibly	0.473	0.529	0.509	દેખીતી રીતે
ostentatious	0.479	0.794	0.648	દેખાવડી
ostracized	0.115	0.690	0.377	બહિષ્કૃત
ostrich	0.592	0.382	0.241	શાહમૃગ
other	0.472	0.230	0.259	અન્ય
otter	0.439	0.216	0.339	ઓટર
otto	0.427	0.425	0.404	ઓટો
ottoman	0.531	0.337	0.444	ઓટ્ટોમન
ought	0.438	0.511	0.434	જોઈએ
ounce	0.531	0.255	0.288	ઔંસ
oust	0.296	0.716	0.444	હાંકી કાઢવું
outage	0.306	0.684	0.438	આઉટેજ
outback	0.500	0.324	0.430	આઉટબેક
outbid	0.594	0.622	0.540	વધુ બોલી
outboard	0.448	0.491	0.456	આઉટબોર્ડ
outbreak	0.260	0.632	0.472	મહામારીનું એકદમથી ફાટી નીકળવું
outburst	0.209	0.802	0.528	વિસ્ફોટ
outcast	0.153	0.449	0.353	આઉટકાસ્ટ
outcome	0.615	0.472	0.685	પરિણામ
outcry	0.271	0.773	0.718	આક્રોશ
outdated	0.167	0.236	0.226	જૂના
outdo	0.771	0.750	0.873	બહાર
outdoor	0.814	0.256	0.447	આઉટડોર
outdoors	0.781	0.444	0.453	બહાર
outer	0.552	0.471	0.456	બાહ્ય
outfit	0.760	0.490	0.566	સરંજામ
outgoing	0.650	0.472	0.538	આઉટગોઇંગ
outgrow	0.510	0.529	0.722	આગળ વધવું
outgrowth	0.771	0.620	0.688	વૃદ્ધિ
outhouse	0.281	0.519	0.255	આઉટહાઉસ
outing	0.771	0.672	0.634	સહેલગાહ
outlandish	0.448	0.737	0.657	વિદેશી
outlast	0.620	0.786	0.685	વધુ સમય
outlaw	0.255	0.662	0.482	ગેરકાયદેસર
outlet	0.610	0.396	0.245	આઉટલેટ
outline	0.542	0.365	0.509	રૂપરેખા
outlines	0.656	0.402	0.651	રૂપરેખા
outlive	0.565	0.769	0.724	વધુ જીવવું
outlook	0.830	0.525	0.625	દૃષ્ટિકોણ
outlying	0.460	0.562	0.503	અંતરિયાળ
outnumber	0.347	0.615	0.577	સંખ્યા કરતાં વધુ
outpatient	0.260	0.400	0.395	બહારના દર્દીઓ
outpost	0.635	0.571	0.675	ચોકી
outpouring	0.562	0.685	0.552	વહેણ
output	0.604	0.389	0.434	આઉટપુટ
outrage	0.060	0.689	0.542	આક્રોશ
outraged	0.156	0.696	0.538	નારાજ
outrageous	0.153	0.945	0.713	ભયંકર
outrank	0.653	0.643	0.817	આઉટરેન્ક
outreach	0.540	0.462	0.672	આઉટરીચ
outright	0.767	0.396	0.755	સંપૂર્ણ
outrun	0.531	0.833	0.573	આગળ વધવું
outset	0.750	0.500	0.582	શરૂઆત
outsider	0.398	0.549	0.447	બહારની વ્યક્તિ
outskirts	0.474	0.519	0.312	બાહરી
outsmart	0.673	0.657	0.864	આઉટસ્માર્ટ
outspoken	0.582	0.413	0.667	સ્પષ્ટવક્તા
outstanding	0.898	0.760	0.896	બાકી
outstretched	0.448	0.481	0.519	વિસ્તરેલું
outward	0.449	0.439	0.365	બાહ્ય
outwards	0.440	0.472	0.400	બહારની તરફ
outweigh	0.486	0.600	0.682	વધુ વજન
outwit	0.302	0.755	0.356	બુદ્ધિમાન
oval	0.417	0.280	0.330	અંડાકાર
ovary	0.469	0.399	0.280	અંડાશય
ovate	0.385	0.286	0.368	ઓવેટ
ovation	0.719	0.758	0.750	અભિવાદન
oven	0.583	0.425	0.606	પકાવવાની નાની ભઠ્ઠી
overactive	0.667	0.885	0.592	અતિસક્રિય
overall	0.583	0.370	0.670	એકંદરે
overalls	0.500	0.392	0.373	ઓવરઓલ્સ
overbearing	0.323	0.833	0.861	ઘમંડી
overburden	0.115	0.755	0.546	વધુ પડતું બોજ
overcast	0.417	0.250	0.475	ઘેરાયેલું
overcharged	0.276	0.780	0.569	ઓવરચાર્જ્ડ
overcoat	0.594	0.265	0.430	ઓવરકોટ
overcome	0.719	0.689	0.848	કાબુ
overcoming	0.842	0.765	0.855	કાબુ
overcrowded	0.292	0.520	0.491	ભીડ
overdo	0.156	0.864	0.602	વધુપડતું
overdose	0.110	0.820	0.468	ઓવરડોઝ
overdrive	0.303	0.715	0.732	ઓવરડ્રાઈવ
overdue	0.125	0.427	0.259	મુદતવીતી
overestimate	0.367	0.796	0.444	અતિશય અંદાજ
overestimated	0.344	0.646	0.527	અતિશય અંદાજ
overflow	0.398	0.792	0.500	ઓવરફ્લો
overflowing	0.439	0.796	0.635	વહેતું
overgrown	0.333	0.500	0.369	અતિશય વૃદ્ધિ પામેલ
overgrowth	0.417	0.790	0.673	અતિશય વૃદ્ધિ
overhanging	0.698	0.755	0.812	ઓવરહેંગિંગ
overhaul	0.500	0.651	0.491	ઓવરઓલ
overhead	0.344	0.700	0.538	ઓવરહેડ
overhear	0.650	0.365	0.580	સાંભળવું
overheated	0.250	0.598	0.547	વધારે ગરમ
overjoyed	0.908	0.708	0.755	અતિ આનંદિત
overkill	0.379	0.861	0.678	ઓવરકિલ
overlaid	0.620	0.610	0.676	ઢાંકેલું
overlap	0.594	0.615	0.627	ઓવરલેપ
overlapping	0.595	0.578	0.684	ઓવરલેપિંગ
overlay	0.564	0.596	0.749	ઓવરલે
overload	0.381	0.690	0.652	ઓવરલોડ
overlook	0.292	0.418	0.415	અવગણવું
overlord	0.750	0.755	0.932	અધિપતિ
overlying	0.500	0.519	0.691	વધુ પડતું
overpaid	0.429	0.670	0.585	વધુ ચૂકવેલ
overpass	0.562	0.561	0.565	ઓવરપાસ
overplayed	0.224	0.798	0.586	ઓવરપ્લે
overpower	0.448	0.859	0.783	અતિશય
overpowering	0.392	0.779	0.589	અતિશય
overpriced	0.271	0.556	0.472	વધુ પડતી કિંમત
overprotective	0.448	0.673	0.741	અતિશય રક્ષણાત્મક
overrated	0.312	0.630	0.482	ઓવરરેટેડ
overreact	0.306	0.912	0.471	અતિશય પ્રતિક્રિયા
override	0.316	0.491	0.529	ઓવરરાઇડ
overriding	0.240	0.490	0.384	ઓવરરાઇડિંગ
overrule	0.224	0.412	0.429	ઓવરરૂલ
overrun	0.271	0.764	0.598	ઓવરન
oversee	0.541	0.649	0.778	દેખરેખ
overseer	0.552	0.520	0.873	નિરીક્ષક
overshadow	0.333	0.549	0.654	પડછાયો
oversight	0.385	0.618	0.723	દેખરેખ
oversized	0.552	0.540	0.679	મોટા કદના
overslept	0.408	0.315	0.300	અતિશય ઊંઘ
overstate	0.281	0.779	0.635	ઓવરસ્ટેટ
overstock	0.344	0.592	0.589	ઓવરસ્ટોક
overt	0.708	0.326	0.607	સ્પષ્ટ
overtake	0.573	0.620	0.718	આગળ નીકળી જવું
overtaken	0.594	0.552	0.702	આગળ નીકળી ગયું
overthemoon	0.643	0.531	0.481	ચંદ્ર પર
overthinker	0.430	0.606	0.552	વધુ વિચારનાર
overthinking	0.408	0.761	0.525	વધુ પડતું વિચારવું
overthrow	0.260	0.868	0.620	ઉથલાવી
overtime	0.447	0.504	0.529	ઓવરટાઇમ
overtired	0.210	0.357	0.273	થાકેલા
overture	0.490	0.402	0.491	ઓવરચર
overturn	0.240	0.765	0.396	ઉથલાવી
overview	0.615	0.380	0.539	ઝાંખી
overweight	0.052	0.500	0.389	વધારે વજન
overwhelm	0.250	0.823	0.462	ભૂલાવી
overwhelmed	0.341	0.680	0.348	અભિભૂત
overwhelming	0.327	0.830	0.640	જબરજસ્ત
overworked	0.133	0.670	0.387	વધારે કામ કર્યું
overwrought	0.156	0.900	0.571	વધારે પડતું
overzealous	0.427	0.804	0.703	અતિશય ઉત્સાહી
owe	0.500	0.429	0.386	ઋણ
owing	0.396	0.307	0.381	કારણે
owl	0.520	0.270	0.321	ઘુવડ
owner	0.776	0.449	0.920	માલિક
ownership	0.628	0.445	0.741	માલિકી
ox	0.417	0.396	0.412	બળદ
oxidation	0.453	0.415	0.211	ઓક્સિડેશન
oxide	0.354	0.377	0.298	ઓક્સાઇડ
oxygen	0.908	0.310	0.575	પ્રાણવાયુ
oxymoron	0.427	0.481	0.398	ઓક્સિમોરોન
oyster	0.500	0.311	0.327	છીપ
ozone	0.560	0.345	0.518	ઓઝોન
pace	0.510	0.380	0.390	ગતિ
pacemaker	0.448	0.569	0.582	પેસમેકર
pacific	0.627	0.118	0.580	પેસિફિક
pacified	0.802	0.194	0.414	શાંત
pacifier	0.615	0.342	0.356	શાંત કરનાર
pacifist	0.663	0.153	0.557	શાંતિવાદી
pacify	0.812	0.283	0.629	શાંત કરવું
pacing	0.583	0.551	0.491	પેસિંગ
pack	0.510	0.347	0.475	પેક
package	0.571	0.433	0.443	પેકેજ
packaging	0.604	0.393	0.549	પેકેજિંગ
packer	0.520	0.480	0.537	પેકર
packet	0.582	0.385	0.407	પેકેટ
pact	0.442	0.444	0.593	સંધિ
pad	0.684	0.279	0.330	પેડ
padded	0.606	0.212	0.371	ગાદીવાળું
padding	0.561	0.398	0.423	ગાદી
paddle	0.561	0.375	0.393	ચપ્પુ
paddle boat	0.663	0.373	0.415	પેડલ બોટ
paddock	0.480	0.429	0.481	વાડો
paddy	0.653	0.330	0.330	ડાંગર
padlock	0.459	0.284	0.457	તાળું
padre	0.684	0.407	0.647	પાદરે
paean	0.552	0.547	0.471	પેન
pagan	0.292	0.578	0.542	મૂર્તિપૂજક
paganism	0.240	0.640	0.411	મૂર્તિપૂજકવાદ
page	0.677	0.224	0.278	પાનું
pageant	0.719	0.667	0.651	સ્પર્ધા
pager	0.510	0.526	0.554	પેજર
pagination	0.459	0.333	0.400	પૃષ્ઠ ક્રમાંકન
paging	0.542	0.398	0.423	પેજીંગ
pagoda	0.571	0.259	0.435	પેગોડા
pail	0.448	0.177	0.188	બાટલી
pain	0.012	0.765	0.395	પીડા
pained	0.112	0.500	0.250	પીડાદાયક
painful	0.050	0.742	0.330	પીડાદાયક
painfully	0.156	0.720	0.407	પીડાદાયક રીતે
painkiller	0.487	0.312	0.481	પીડા નિવારક
painless	0.785	0.173	0.491	પીડારહિત
pains	0.106	0.673	0.362	પીડા
painstaking	0.396	0.335	0.386	ઉદ્યમી
paint	0.667	0.343	0.413	રંગ
paintball	0.615	0.745	0.537	પેંટબોલ
paintbrush	0.714	0.226	0.353	પેઇન્ટ બ્રશ
painted	0.667	0.333	0.424	પેઇન્ટેડ
painter	0.677	0.366	0.487	ચિત્રકાર
painting	0.792	0.324	0.333	પેઇન્ટિંગ
pair	0.552	0.317	0.304	જોડી
paisley	0.531	0.327	0.347	paisley
pajama	0.908	0.157	0.245	પાયજામા
pajamas	0.719	0.170	0.264	પાયજામા
pal	0.812	0.426	0.596	મિત્ર
palace	0.878	0.510	0.804	મહેલ
palatable	0.823	0.500	0.594	સ્વાદિષ્ટ
palate	0.625	0.350	0.358	તાળવું
pale	0.281	0.259	0.245	નિસ્તેજ
paleontology	0.438	0.308	0.617	પેલિયોન્ટોલોજી
palette	0.590	0.333	0.205	પેલેટ
pall	0.277	0.387	0.394	પૉલ
palladium	0.470	0.380	0.393	પેલેડિયમ
pallet	0.604	0.241	0.349	પેલેટ
palliative	0.548	0.394	0.518	ઉપશામક
palm	0.531	0.194	0.340	હથેળી
palmer	0.480	0.269	0.413	પામર
palomino	0.616	0.349	0.396	પાલોમિનો
palpable	0.552	0.343	0.611	સ્પષ્ટ
palpitations	0.417	0.702	0.528	ધબકારા
palsy	0.083	0.446	0.221	લકવો
paltry	0.333	0.491	0.320	અલ્પ
pamper	0.792	0.321	0.348	લાડ લડાવવા
pamphlet	0.530	0.250	0.327	પેમ્ફલેટ
pan	0.734	0.182	0.364	પાન
panacea	0.420	0.427	0.613	રામબાણ
panache	0.510	0.363	0.306	panache
pancake	0.802	0.274	0.364	પેનકેક
pancakes	0.844	0.373	0.402	પેનકેક
pancreas	0.469	0.302	0.366	સ્વાદુપિંડ
panda	0.646	0.194	0.406	પાંડા
pandemic	0.160	0.790	0.544	દેશવ્યાપી રોગચાળો
pandemonium	0.229	0.885	0.500	રોગચાળો
pane	0.385	0.250	0.444	ફલક
panel	0.469	0.321	0.425	પેનલ
pang	0.146	0.595	0.455	પીડા
panhandle	0.441	0.431	0.414	પેનહેન્ડલ
panic	0.062	0.938	0.400	ગભરાટ
panicattack	0.255	0.724	0.386	ગભરાટ
panicked	0.100	0.949	0.260	ગભરાયેલ
panicking	0.094	0.882	0.333	ગભરાટ
panicky	0.284	0.962	0.393	ભયભીત
panier	0.500	0.392	0.380	પનીર
panorama	0.719	0.402	0.625	પેનોરમા
panoramic	0.542	0.462	0.684	પેનોરેમિક
pansy	0.653	0.283	0.589	પેન્સી
pant	0.448	0.463	0.409	હાંફવું
pantheon	0.144	0.410	0.610	સર્વદેવ
panther	0.303	0.594	0.682	દીપડો
panties	0.594	0.529	0.312	લૌકિક નાનાં બાળકો અથવા સ્ત્રીઓની નાની ચડ્ડી કે જાંઘિયો
pantomime	0.552	0.481	0.385	પેન્ટોમાઇમ
pantry	0.622	0.294	0.312	પેન્ટ્રી
pants	0.673	0.320	0.333	પેન્ટ
panty	0.451	0.557	0.303	પેન્ટી
pantyhose	0.570	0.539	0.250	પેન્ટીહોઝ
pap	0.438	0.403	0.302	પાપ
papa	0.656	0.340	0.527	પપ્પા
papacy	0.481	0.263	0.553	પોપપદ
papal	0.493	0.304	0.559	પોપ
papaya	0.630	0.306	0.300	પપૈયા
paper	0.520	0.123	0.293	કાગળ
paperback	0.633	0.269	0.314	પેપરબેક
paperboy	0.521	0.490	0.471	પેપરબોય
paperweight	0.421	0.278	0.433	કાગળનું વજન
paperwork	0.448	0.355	0.422	કાગળ
paprika	0.417	0.250	0.264	પૅપ્રિકા
papyrus	0.459	0.240	0.324	પેપિરસ
par	0.615	0.372	0.429	પાર
parable	0.479	0.357	0.525	દૃષ્ટાંત
parabola	0.542	0.413	0.620	પેરાબોલા
parabolic	0.459	0.509	0.500	પેરાબોલિક
parachute	0.562	0.787	0.564	પેરાશૂટ
parade	0.792	0.685	0.509	પરેડ
paradigm	0.573	0.429	0.779	દાખલો
paradise	0.875	0.540	0.796	સ્વર્ગ
paradox	0.417	0.442	0.482	વિરોધાભાસ
paradoxical	0.406	0.547	0.433	વિરોધાભાસી
paraffin	0.426	0.291	0.343	પેરાફિન
paragon	0.490	0.431	0.473	પેરાગોન
paragraph	0.510	0.164	0.269	ફકરો
parakeet	0.576	0.387	0.227	પારકી
paralegal	0.479	0.470	0.519	પેરાલીગલ
parallax	0.437	0.394	0.471	લંબન
parallel	0.568	0.284	0.465	સમાંતર
parallelism	0.549	0.363	0.527	સમાનતા
paralysis	0.156	0.500	0.305	લકવો
paralyze	0.188	0.367	0.471	લકવો
paramedic	0.673	0.464	0.636	પેરામેડિક
paramedics	0.479	0.594	0.712	પેરામેડિક્સ
paramilitary	0.154	0.804	0.727	અર્ધલશ્કરી
paramount	0.771	0.615	0.902	પેરામાઉન્ટ
paranoia	0.146	0.841	0.407	પેરાનોઇયા
paranoid	0.122	0.918	0.364	પેરાનોઇડ
paranormal	0.167	0.814	0.560	પેરાનોર્મલ
parapet	0.450	0.356	0.279	પેરાપેટ
paraphernalia	0.443	0.726	0.509	સાધનસામગ્રી
paraphrase	0.500	0.375	0.444	શબ્દસમૂહ
paraplegic	0.188	0.441	0.321	પેરાપ્લેજિક
parasite	0.092	0.442	0.324	પરોપજીવી
parasitic	0.037	0.600	0.364	પરોપજીવી
parasol	0.604	0.255	0.304	છત્ર
parcel	0.660	0.324	0.411	પાર્સલ
parcels	0.551	0.445	0.418	પાર્સલ
parched	0.250	0.235	0.255	શુષ્ક
parchment	0.615	0.228	0.455	ચર્મપત્ર
pardon	0.552	0.413	0.542	ક્ષમા
pare	0.500	0.356	0.309	પાર
parenchyma	0.500	0.399	0.595	પેરેન્ચાઇમા
parent	0.812	0.357	0.860	પિતૃ
parentage	0.903	0.382	0.595	પિતૃત્વ
parental	0.760	0.430	0.627	પેરેંટલ
parenthesis	0.510	0.255	0.380	કૌંસ
parenthetical	0.490	0.327	0.391	પેરેન્થેટીકલ
parenthood	0.750	0.630	0.782	પિતૃત્વ
parenting	0.812	0.520	0.676	વાલીપણા
pariah	0.397	0.478	0.293	જાતિબહિષ્કૃત વ્યક્તિ
parietal	0.481	0.333	0.491	પેરિએટલ
paring	0.429	0.441	0.324	પેરિંગ
parish	0.698	0.354	0.582	પરગણું
parity	0.582	0.406	0.407	સમાનતા
park	0.816	0.343	0.414	પાર્ક
parka	0.469	0.481	0.395	પાર્ક
parking	0.777	0.469	0.510	પાર્કિંગ
parkinsons	0.104	0.570	0.373	પાર્કિન્સન્સ
parlance	0.510	0.350	0.462	બોલચાલ
parlay	0.469	0.611	0.483	પરલે
parliament	0.573	0.540	0.858	લોકસભા
parliamentary	0.490	0.554	0.755	સંસદીય
parlor	0.500	0.327	0.366	દીવાનખાનું
parmesan	0.698	0.321	0.382	પરમેસન
parody	0.561	0.651	0.375	પેરોડી
parole	0.388	0.620	0.526	પેરોલ
parquet	0.541	0.240	0.422	લાકડાનું પાતળું પડ
parrot	0.588	0.333	0.292	પોપટ
parry	0.510	0.404	0.436	પેરી
parse	0.469	0.456	0.667	વિશ્લેષણ
parsimonious	0.417	0.312	0.446	પરસ્પર
parsimony	0.449	0.280	0.403	પારસીમોની
parsley	0.458	0.170	0.291	કોથમરી
parson	0.583	0.250	0.615	પાર્સન
part	0.663	0.278	0.360	ભાગ
partake	0.755	0.656	0.629	ભાગ લેવો
partial	0.429	0.324	0.348	આંશિક
partiality	0.375	0.380	0.490	પક્ષપાત
partially	0.418	0.368	0.396	આંશિક રીતે
participant	0.712	0.598	0.613	સહભાગી
participate	0.755	0.580	0.684	ભાગ લેવો
participation	0.781	0.700	0.702	ભાગીદારી
particle	0.521	0.265	0.438	કણ
particular	0.562	0.402	0.552	ખાસ
particularity	0.670	0.434	0.586	વિશિષ્ટતા
particulars	0.604	0.348	0.525	વિગતો
parting	0.260	0.542	0.353	વિદાય
partisan	0.615	0.549	0.669	પક્ષપાતી
partisanship	0.438	0.566	0.551	પક્ષપાત
partition	0.615	0.469	0.567	પાર્ટીશન
partly	0.415	0.410	0.396	આંશિક
partner	0.673	0.302	0.586	ભાગીદાર
partnership	0.786	0.387	0.545	ભાગીદારી
partridge	0.583	0.415	0.250	પેટ્રિજ
parts	0.459	0.327	0.392	ભાગો
party	0.948	0.840	0.547	પાર્ટી
pas	0.490	0.344	0.262	પાસ
pass	0.510	0.324	0.362	પાસ
passable	0.688	0.337	0.633	પસાર કરી શકાય તેવું
passage	0.429	0.314	0.370	માર્ગ
passageway	0.490	0.389	0.400	માર્ગ
passe	0.531	0.357	0.426	પાસ
passenger	0.717	0.413	0.481	મુસાફર
passim	0.458	0.491	0.333	પાસિમ
passing	0.458	0.298	0.509	પસાર
passion	0.854	0.865	0.728	જુસ્સો
passionate	0.990	0.827	0.731	જુસ્સાદાર
passive	0.420	0.116	0.241	નિષ્ક્રિય
passivity	0.241	0.115	0.246	નિષ્ક્રિયતા
passkey	0.646	0.500	0.791	પાસકી
passport	0.653	0.457	0.682	પાસપોર્ટ
password	0.390	0.356	0.559	પાસવર્ડ
past	0.490	0.422	0.311	ભૂતકાળ
pasta	0.615	0.306	0.375	પાસ્તા
paste	0.500	0.556	0.500	પેસ્ટ
pastel	0.719	0.357	0.367	પેસ્ટલ
pastime	0.677	0.353	0.443	મનોરંજન
pastor	0.698	0.236	0.746	પાદરી
pastrami	0.542	0.415	0.348	પેસ્ટ્રામી
pastry	0.870	0.407	0.419	પેસ્ટ્રી
pasture	0.688	0.145	0.170	ગોચર
pasty	0.479	0.363	0.375	પેસ્ટી
pat	0.418	0.377	0.340	પેટ
patch	0.439	0.288	0.283	પેચ
patchwork	0.500	0.260	0.325	પેચવર્ક
pate	0.406	0.260	0.260	વિનોદ
patella	0.430	0.260	0.342	ઢાંકણી
patent	0.724	0.391	0.609	પેટન્ટ
patented	0.571	0.422	0.685	પેટન્ટ
paternal	0.776	0.353	0.755	પૈતૃક
paternity	0.704	0.590	0.806	પિતૃત્વ
path	0.590	0.245	0.421	માર્ગ
pathetic	0.088	0.464	0.139	દયનીય
pathological	0.220	0.602	0.580	પેથોલોજીકલ
pathologist	0.354	0.552	0.585	રોગવિજ્ઞાની
pathology	0.271	0.560	0.558	પેથોલોજી
pathos	0.350	0.449	0.462	કરુણ
