English Word	Valence	Arousal	Dominance	Sinhala Word
intravenous	0.357	0.538	0.458	අභ්‍යන්තරය
intrepid	0.753	0.696	0.637	නිර්භීත
intricate	0.559	0.704	0.500	සංකීර්ණ
intrigue	0.362	0.830	0.327	කුතුහලය
intriguing	0.422	0.713	0.462	කුතුහලය දනවන
intrinsic	0.406	0.471	0.526	ආවේණික
intrinsically	0.459	0.382	0.538	සහජයෙන්ම
intro	0.510	0.331	0.657	හැඳින්වීම
introduce	0.592	0.559	0.648	හඳුන්වා දෙන්න
introduction	0.612	0.413	0.640	හැදින්වීම
introductory	0.635	0.368	0.593	හඳුන්වාදීමේ
introspection	0.603	0.337	0.575	ස්වයං විමර්ශනය
introspective	0.552	0.360	0.471	අභ්‍යන්තර විමර්ශන
intrude	0.058	0.735	0.480	අනවසරයෙන් ඇතුල් වේ
intruder	0.146	0.740	0.324	අනවසරයෙන් ඇතුල් වන්නා
intrusion	0.293	0.641	0.670	ආක්රමණය
intrusive	0.461	0.607	0.538	ආක්රමණශීලී
intubation	0.276	0.598	0.526	intubation
intuition	0.857	0.508	0.602	බුද්ධිය
intuitive	0.771	0.573	0.690	බුද්ධිමය
intuitively	0.670	0.561	0.648	intuitively
inundation	0.177	0.780	0.455	ජලයෙන් යටවීම
invade	0.408	0.892	0.714	ආක්‍රමණය කරනවා
invader	0.200	0.827	0.618	ආක්රමණිකයා
invalid	0.180	0.330	0.255	අවලංගුයි
invalidate	0.315	0.480	0.397	අවලංගු කරන්න
invalidation	0.181	0.490	0.278	අවලංගු කිරීම
invalidity	0.186	0.394	0.158	වලංගු නොවන බව
invaluable	0.740	0.500	0.745	අගනා
invariably	0.458	0.365	0.550	නොවෙනස්ව
invasion	0.271	0.843	0.808	ආක්රමණය
invasive	0.194	0.730	0.598	ආක්රමණශීලී
invent	0.719	0.689	0.833	නව නිපැයුම්
invention	0.714	0.577	0.811	නව නිපැයුම්
inventive	0.780	0.627	0.721	නව නිපැයුම්
inventor	0.781	0.667	0.847	නව නිපැයුම්කරු
inventory	0.594	0.463	0.490	බඩු තොගය
inverse	0.459	0.337	0.319	ප්රතිලෝම
inversely	0.286	0.418	0.351	ප්රතිලෝමව
inversion	0.602	0.630	0.772	පෙරළීම
invert	0.510	0.585	0.706	පෙරළන්න
inverted	0.310	0.471	0.357	පෙරළුණු
invest	0.650	0.663	0.682	ආයෝජනය කරනවා
investigate	0.640	0.500	0.781	විමර්ශනය
investigation	0.531	0.592	0.820	පරීක්ෂණයක්
investigative	0.562	0.600	0.704	විමර්ශනාත්මක
investigator	0.615	0.509	0.779	පරීක්ෂක
investment	0.720	0.592	0.745	ආයෝජනය
investor	0.794	0.655	0.791	ආයෝජකයා
invidious	0.112	0.650	0.364	ද්වේෂසහගත
invigorate	0.821	0.798	0.831	ප්‍රබෝධමත් කරන්න
invincible	0.867	0.853	0.914	අනභිභවනීය
invisibility	0.438	0.461	0.382	නොපෙනෙන බව
invisible	0.417	0.345	0.412	නොපෙනෙන
invitation	0.802	0.549	0.647	ආරාධනය
invite	0.745	0.655	0.611	ආරාධනා කරන්න
inviting	0.938	0.571	0.538	ආරාධනා කරනවා
invocation	0.430	0.620	0.673	ආයාචනය
invoice	0.480	0.380	0.474	ඉන්වොයිසිය
invoke	0.583	0.740	0.579	ආයාචනා කරන්න
involuntary	0.354	0.490	0.231	කැමැත්තෙන් තොරව
involution	0.296	0.420	0.407	ආක්රමණය
involve	0.694	0.490	0.728	සම්බන්ධයි
involvement	0.760	0.620	0.696	සම්බන්ධ වීම
invulnerable	0.552	0.683	0.745	අනාරක්ෂිත
inwards	0.490	0.385	0.438	ඇතුලට
iodine	0.390	0.265	0.333	අයඩීන්
ion	0.429	0.330	0.408	අයන
iota	0.344	0.385	0.314	අයෝටා
irate	0.188	0.852	0.474	කෝප වෙනවා
ire	0.198	0.740	0.575	කෝපයෙන්
iridescent	0.602	0.588	0.539	iridescent
iris	0.708	0.275	0.380	අයිරිස්
irked	0.164	0.791	0.353	කෝපයට පත් විය
irks	0.276	0.781	0.339	irks
iron	0.448	0.351	0.679	යකඩ
ironclad	0.561	0.648	0.679	යකඩ ආවරණ
ironic	0.435	0.550	0.500	උපහාසාත්මක ය
irons	0.531	0.441	0.625	යකඩ
irony	0.390	0.587	0.508	උත්ප්රාසය
irradiation	0.385	0.736	0.509	ප්රකිරණය
irrational	0.125	0.648	0.394	අතාර්කික
irrationality	0.198	0.735	0.361	අතාර්කිකත්වය
irreconcilable	0.146	0.667	0.375	සම කළ නොහැකි
irreducible	0.296	0.455	0.569	අඩු කළ නොහැකි
irrefutable	0.496	0.549	0.716	ප්රතික්ෂේප කළ නොහැකි
irregular	0.312	0.548	0.321	අක්රමවත්
irregularity	0.104	0.647	0.306	අක්රමිකතා
irregularly	0.292	0.565	0.397	අක්රමවත් ලෙස
irrelevant	0.138	0.311	0.296	අදාල නැත
irreparable	0.061	0.530	0.430	පිළිසකර කළ නොහැකි
irreplaceable	0.479	0.580	0.833	ආපසු හැරවිය නොහැකි
irrepressible	0.512	0.566	0.745	යටපත් කළ නොහැකි ය
irresistible	0.823	0.833	0.839	නොබිඳිය හැකි ය
irrespective	0.497	0.538	0.745	නොසලකා
irresponsible	0.177	0.680	0.241	වගකීම් විරහිත ය
irreverent	0.191	0.694	0.634	අගෞරවනීය
irreversible	0.170	0.541	0.667	ආපසු හැරවිය නොහැකි
irrevocable	0.296	0.560	0.712	ආපසු හැරවිය නොහැකි
irrigate	0.272	0.458	0.490	වාරිමාර්ග
irrigation	0.259	0.426	0.426	වාරිමාර්ග
irritability	0.146	0.853	0.283	නුරුස්නා බව
irritable	0.112	0.952	0.462	කේන්ති යන
irritate	0.167	0.890	0.368	කුපිත කරන්න
irritated	0.210	0.816	0.281	කෝපයට පත් විය
irritates	0.173	0.810	0.295	කුපිත කරයි
irritating	0.104	0.912	0.393	කුපිත කරයි
irritation	0.073	0.833	0.496	කෝපයක්
island	0.745	0.347	0.432	දිවයින
isle	0.667	0.390	0.443	isle
islet	0.612	0.314	0.367	අයිලට්
isolate	0.235	0.422	0.336	හුදකලා කරන්න
isolated	0.221	0.356	0.255	හුදකලා
isolation	0.198	0.338	0.339	ඒකලනය
isomorphism	0.448	0.361	0.481	isomorphism
isothermal	0.459	0.491	0.500	සමාවයවික
isotope	0.429	0.404	0.407	සමස්ථානික
issue	0.316	0.819	0.351	නිකුත් කිරීම
itch	0.319	0.610	0.465	කැසීම
itching	0.208	0.690	0.300	කැසීම
itchy	0.334	0.726	0.296	කැසීම
item	0.594	0.270	0.465	අයිතමය
itemize	0.459	0.527	0.518	අයිතමගත කරන්න
items	0.542	0.401	0.434	අයිතම
iterate	0.449	0.460	0.440	පුනරාවර්තනය කරන්න
iteration	0.531	0.449	0.486	පුනරාවර්තනය
iterative	0.429	0.420	0.500	පුනරාවර්තන
itinerant	0.449	0.545	0.439	ගමන් කරන්නා
itinerary	0.551	0.550	0.454	ගමන් විස්තර
ivory	0.625	0.235	0.566	ඇත්දළ
jab	0.385	0.519	0.482	ජබ්
jabber	0.417	0.506	0.342	ජබ්බර්
jack	0.487	0.450	0.441	කොස්
jackal	0.333	0.582	0.436	හිවලුන්
jackass	0.188	0.692	0.279	කොස්
jacket	0.656	0.302	0.382	ජැකට්
jackhammer	0.199	0.690	0.519	ජැක්හැමර්
jackpot	0.950	0.750	0.786	ජැක්පොට්
jackrabbit	0.625	0.379	0.344	ජැක්රැබිට්
jacks	0.490	0.400	0.505	කොස්
jade	0.604	0.410	0.455	ජේඩ්
jaded	0.255	0.560	0.400	වියරු වැටී ඇත
jag	0.408	0.440	0.427	හකු
jagged	0.082	0.462	0.213	හකුරු
jaguar	0.559	0.710	0.654	ජගුවාර්
jail	0.094	0.898	0.480	හිරගෙදර
jailbird	0.240	0.567	0.473	jailbird
jailbreak	0.354	0.629	0.471	Jailbreak
jailer	0.194	0.630	0.632	ජේලර්
jailhouse	0.104	0.887	0.430	හිරගෙදර
jalopy	0.396	0.436	0.337	jalopy
jam	0.510	0.548	0.318	තදබදය
jamboree	0.602	0.625	0.351	ජම්බෝරිය
jammed	0.235	0.817	0.411	හිරවෙලා
jammer	0.417	0.540	0.491	ජෑමර්
janitor	0.510	0.350	0.527	මුරකරු
janitorial	0.490	0.373	0.481	මුරකරු
japan	0.667	0.482	0.580	ජපානය
jar	0.430	0.346	0.318	භාජනයක්
jargon	0.333	0.548	0.404	ප්‍රභාෂාව
jarhead	0.408	0.530	0.464	jarhead
jarring	0.210	0.673	0.309	jarring
jasmine	0.765	0.230	0.286	jasmine
jasper	0.480	0.425	0.402	ජැස්පර්
jaundice	0.214	0.480	0.355	සෙංගමාලය
jaunt	0.808	0.451	0.500	jaunt
java	0.459	0.321	0.343	java
javelin	0.385	0.481	0.465	හෙල්ල විසිකිරීම
jaw	0.500	0.510	0.420	හකු
jawbone	0.468	0.413	0.342	හකු ඇටය
jaws	0.385	0.528	0.455	හකු
jay	0.531	0.408	0.389	jay
jazz	0.677	0.362	0.450	ජෑස්
jazzy	0.725	0.431	0.389	ජෑසි
jealous	0.173	0.855	0.345	ඊර්ෂ්යාව
jealousy	0.146	0.783	0.481	ඊර්ෂ්යාව
jean	0.602	0.444	0.364	ජීන්
jeans	0.622	0.324	0.371	ජීන්ස්
jeep	0.602	0.510	0.612	ජීප් රථය
jeering	0.266	0.792	0.380	විහිළු කරනවා
jelly	0.651	0.294	0.256	ජෙලි
jellybean	0.592	0.406	0.399	ජෙලි බීන්
jellyfish	0.531	0.567	0.377	ජෙලිෆිෂ්
jenny	0.542	0.406	0.407	ජෙනී
jeopardize	0.260	0.877	0.582	අනතුරේ
jeopardy	0.129	0.908	0.536	අනතුරක්
jerk	0.194	0.630	0.238	විහිළුකාරයා
jerks	0.214	0.788	0.395	jerks
jerky	0.233	0.538	0.358	ගැහෙන
jersey	0.594	0.317	0.411	ජර්සි
jest	0.520	0.736	0.222	විහිළු කරනවා
jester	0.388	0.670	0.264	විහිළුකාරයා
jesus	0.800	0.400	0.620	යේසුස් වහන්සේ
jet	0.612	0.721	0.606	ජෙට්
jetty	0.602	0.480	0.453	ජැටිය
jewel	0.827	0.588	0.625	මැණික්
jeweler	0.760	0.482	0.500	ස්වර්ණාභරණ වෙළෙන්දා
jewelry	0.823	0.569	0.597	ආභරණ
jib	0.406	0.420	0.413	ජිබ්
jiff	0.576	0.404	0.349	jiff
jiffy	0.410	0.444	0.380	චංචල
jig	0.531	0.396	0.357	ජිග්
jiggle	0.592	0.673	0.518	ජිගල්
jigsaw	0.594	0.582	0.519	ජිග්සෝ
jihad	0.323	0.660	0.444	ජිහාඩ්
jimmy	0.579	0.321	0.311	ජිමී
jingle	0.635	0.500	0.424	ජිංගල්
jinx	0.337	0.582	0.373	jinx
jitters	0.224	0.918	0.192	වෙව්ලීම
jittery	0.344	0.856	0.255	කලබලකාරී
jive	0.561	0.551	0.373	jive
job	0.694	0.541	0.717	රැකියා
jobinterview	0.684	0.837	0.723	රැකියා සම්මුඛ පරීක්ෂණය
jock	0.592	0.656	0.473	ජෝක්
jockey	0.562	0.644	0.703	ජෝකී
jockstrap	0.347	0.431	0.390	jockstrap
jog	0.510	0.708	0.519	ජෝගු කිරීම
jogger	0.417	0.510	0.424	ජෝගර්
john	0.562	0.382	0.327	ජෝන්
join	0.729	0.479	0.684	එකතු වෙනවා
joined	0.667	0.394	0.600	එකතු වුණා
joining	0.755	0.469	0.685	එකතු වෙනවා
joint	0.615	0.392	0.566	ඒකාබද්ධ
jointly	0.708	0.425	0.602	ඒකාබද්ධව
joke	0.704	0.610	0.316	විහිළුවක්
joker	0.771	0.760	0.416	විහිළුකාරයා
joking	0.776	0.839	0.407	විහිළු කරනවා
jolly	0.959	0.705	0.708	ප්රීතිමත්
jolt	0.365	0.708	0.358	ගැස්සෙනවා
jornada	0.417	0.500	0.533	ජෝර්නාඩා
jot	0.406	0.323	0.350	jot
jour	0.479	0.394	0.415	jour
journal	0.688	0.240	0.352	සඟරාව
journalism	0.622	0.500	0.684	පුවත්පත් කලාව
journalist	0.542	0.452	0.732	මාධ්යවේදී
journalistic	0.696	0.449	0.495	පුවත්පත් කලාවේදි
journey	0.910	0.702	0.625	ගමන
journeyman	0.765	0.596	0.741	සංචාරකයා
joust	0.520	0.528	0.551	ජුස්ට්
jovial	0.823	0.460	0.526	විනෝදකාමී
joy	0.980	0.824	0.794	සතුට
joyful	0.990	0.740	0.667	ප්රීතිමත්
joyous	0.958	0.580	0.728	ප්රීතිමත්
joyride	0.694	0.550	0.500	joyride
joys	0.981	0.643	0.651	ප්රීති
jubilant	0.844	0.673	0.664	ප්රීතිමත්
jubilee	0.916	0.500	0.579	ජුබිලිය
judge	0.510	0.604	0.857	විනිශ්චය කරන්න
judged	0.281	0.686	0.722	විනිශ්චය කළා
judging	0.240	0.625	0.693	විනිශ්චය කිරීම
judgment	0.396	0.600	0.816	විනිශ්චය
judgmental	0.330	0.602	0.579	විනිශ්චය
judicial	0.378	0.667	0.833	අධිකරණ
judiciary	0.439	0.740	0.897	අධිකරණය
judicious	0.630	0.432	0.772	විචක්ෂණශීලී
judo	0.500	0.790	0.612	ජූඩෝ
jug	0.520	0.250	0.213	ජෝගුව
juggle	0.594	0.760	0.426	හොරකම් කරන්න
juggler	0.633	0.821	0.480	ජග්ලර්
juggling	0.562	0.874	0.346	ජුගුල්
jugular	0.271	0.573	0.426	ජුගුලර්
juice	0.776	0.281	0.352	යුෂ
juicer	0.552	0.520	0.564	ජූසර්
juicy	0.823	0.529	0.490	ඉස්ම සහිත
juju	0.541	0.519	0.206	ජුජු
juke	0.500	0.491	0.410	ජූක්
jukebox	0.699	0.540	0.429	jukebox
jumble	0.357	0.613	0.331	අවුල්
jumbled	0.292	0.602	0.445	අවුල් විය
jumbo	0.680	0.552	0.447	ජම්බෝ
jump	0.625	0.865	0.611	පනින්න
jump rope	0.656	0.660	0.368	කඹය පනින්න
jumper	0.615	0.336	0.481	ජම්පරයක්
jumpsuit	0.562	0.365	0.361	පැනීමේ ඇඳුම
jumpy	0.353	0.810	0.216	පනින
junction	0.490	0.481	0.364	හන්දිය
juncture	0.365	0.582	0.491	සන්ධිස්ථානය
jungle	0.500	0.510	0.481	කැලේ
junior	0.635	0.343	0.304	කනිෂ්ඨ
juniper	0.583	0.327	0.352	ජුනිපර්
junk	0.115	0.481	0.118	කුණු
junket	0.490	0.519	0.386	ජුන්කට්
junkie	0.135	0.860	0.363	කුණු කොල්ලෙකි
junky	0.385	0.595	0.343	කුණු
junkyard	0.177	0.398	0.302	කුණු කූඩය
junta	0.451	0.503	0.704	ජුන්ටාව
juridical	0.520	0.431	0.873	අධිකරණමය
jurisdiction	0.480	0.580	0.820	අධිකරණ බලය
jurisprudence	0.360	0.425	0.764	නීති විද්යාව
jurist	0.479	0.523	0.713	නීතිවේදියෙක්
juror	0.582	0.640	0.750	ජූරි සභික
jury	0.479	0.607	0.789	ජූරි සභාව
justice	0.760	0.538	0.787	යුක්තිය
justifiable	0.786	0.413	0.821	යුක්ති සහගත ය
justification	0.622	0.444	0.661	සාධාරණීකරණය
justify	0.612	0.473	0.615	සාධාරණීකරණය කරයි
juststop	0.417	0.379	0.364	යන්තම් නවතින්න
justthebeginning	0.573	0.451	0.481	ආරම්භය පමණි
jute	0.551	0.216	0.295	ජුට්
juvenile	0.678	0.490	0.526	බාලවයස්කාර
juxtaposition	0.427	0.500	0.460	සමපාත වීම
kaiser	0.470	0.509	0.690	කයිසර්
kale	0.469	0.226	0.411	ගෝවා
kaleidoscope	0.615	0.439	0.580	kaleidoscope
kamikaze	0.204	0.810	0.645	කමිකාසේ
kangaroo	0.716	0.333	0.301	කැන්ගරු
kanji	0.510	0.413	0.425	කන්ජි
kappa	0.469	0.375	0.366	කප්පා
kaput	0.281	0.441	0.440	kaput
karaoke	0.763	0.649	0.342	කැරෝකී
karate	0.562	0.833	0.598	කරාටේ
karma	0.500	0.510	0.537	කර්මය
karmic	0.357	0.459	0.464	කර්මය
kayak	0.592	0.600	0.364	කයාක්
kazoo	0.503	0.462	0.411	kazoo
kebab	0.531	0.431	0.377	කෙබාබ්
keel	0.344	0.417	0.419	කීල්
keen	0.823	0.719	0.806	උනන්දුවෙන්
keep	0.714	0.296	0.547	තබා ගන්න
keeper	0.612	0.457	0.773	මුරකරු
keeping	0.592	0.280	0.723	තබා
keepsake	0.740	0.307	0.491	සිහිවටනයක්
keg	0.551	0.389	0.404	keg
kelp	0.479	0.264	0.213	කෙල්ප්
ken	0.438	0.409	0.360	කෙන්
kennel	0.430	0.480	0.406	කූඩුව
kerchief	0.520	0.189	0.236	ලේන්සුව
kern	0.438	0.420	0.449	කර්නලය
kernel	0.542	0.453	0.462	කර්නලය
kerosene	0.302	0.472	0.427	භූමිතෙල්
ketchup	0.653	0.338	0.282	කෙචප්
kettle	0.357	0.497	0.333	කේතලය
key	0.615	0.275	0.519	යතුර
keyboard	0.573	0.279	0.349	යතුරු පුවරුව
keyed	0.469	0.497	0.521	යතුරු කර ඇත
keyhole	0.438	0.358	0.356	යතුරු සිදුර
keynote	0.630	0.431	0.545	ප්රධාන දේශනය
keypad	0.604	0.255	0.330	යතුරු පුවරුව
keystone	0.573	0.438	0.491	ප්රධාන ගල
keyword	0.602	0.520	0.747	මූල පදය
khaki	0.594	0.252	0.278	කාකි
khan	0.463	0.476	0.529	ඛාන්
kibble	0.510	0.458	0.404	කිබල්
kick	0.271	0.791	0.526	පයින් ගහන්න
kickboxing	0.427	0.882	0.651	කික් බොක්සිං
kicker	0.427	0.711	0.614	පයින් ගසන්නා
kicking	0.327	0.802	0.510	පයින් ගහනවා
kickoff	0.583	0.600	0.629	පටන් ගන්න
kid	0.760	0.453	0.298	ළමයා
kidder	0.708	0.768	0.471	කොල්ලා
kidding	0.622	0.625	0.457	විහිළු කරනවා
kiddo	0.674	0.393	0.419	කොල්ලා
kiddos	0.500	0.480	0.342	පොඩි ළමයි
kidnap	0.032	0.923	0.535	පැහැර ගැනීම
kidnapped	0.044	0.923	0.455	පැහැරගෙන ගියා
kidnapper	0.115	0.906	0.618	පැහැරගෙන යන්නා
kidnapping	0.094	0.880	0.561	පැහැර ගැනීම
kidney	0.448	0.363	0.380	වකුගඩු
kids	0.837	0.500	0.417	ළමයි
kill	0.052	0.941	0.736	මරනවා
killer	0.041	0.971	0.543	ඝාතකයා
killing	0.080	0.959	0.696	මරනවා
killjoy	0.178	0.550	0.324	කිලිජෝයි
kiln	0.451	0.423	0.414	පෝරණුව
kilo	0.438	0.358	0.461	කිලෝ
kilogram	0.510	0.260	0.455	කිලෝ ග්රෑම්
kilometer	0.490	0.439	0.485	කි.මී
kilt	0.448	0.346	0.348	කිල්ට්
kimono	0.643	0.280	0.363	කිමෝනාව
kin	0.543	0.441	0.457	ඥාතීන්
kind	0.918	0.240	0.618	කාරුණික
kindergarten	0.833	0.462	0.308	ළදරු පාසල
kindling	0.520	0.651	0.421	දැල්වීම
kindness	0.938	0.350	0.508	කරුණාව
kindred	0.760	0.418	0.517	ඥාතීන්
kinematics	0.594	0.480	0.614	චාලක විද්යාව
kinesiology	0.491	0.480	0.633	චාලක විද්යාව
kinetic	0.582	0.540	0.537	චාලක
king	0.677	0.690	0.892	රජ
king snake	0.458	0.835	0.647	රජ සර්පයා
kingdom	0.714	0.547	0.910	රාජධානිය
kingpin	0.357	0.626	0.642	kingpin
kink	0.337	0.634	0.321	කිනික්
kinky	0.449	0.558	0.361	කිංකිණි
kinship	0.771	0.300	0.652	ඥාතිත්වය
kiosk	0.500	0.286	0.321	කියෝස්ක්
kirk	0.510	0.390	0.388	කිර්ක්
kiss	0.967	0.813	0.630	හාදුවක්
kisser	0.844	0.682	0.618	සිපගන්නවා
kissy	0.874	0.684	0.402	හාදුවෙන්
kit	0.583	0.344	0.420	කට්ටලය
kitchen	0.700	0.234	0.398	කුස්සිය
kite	0.643	0.500	0.573	සරුංගලය
kitten	0.816	0.343	0.260	බළල් පැටියා
kiwi	0.646	0.273	0.282	කීවි
klutz	0.275	0.451	0.356	klutz
knack	0.562	0.518	0.820	දක්ෂතාවය
knapsack	0.551	0.317	0.268	නැප් මල්ලක්
knead	0.490	0.457	0.345	knead
knee	0.520	0.245	0.396	දණහිස
kneecap	0.427	0.360	0.440	දණහිස
kneel	0.426	0.417	0.217	දණ ගසනවා
kneeling	0.245	0.435	0.144	දණ ගහනවා
knell	0.354	0.500	0.377	දණ ගසන්න
knick	0.480	0.509	0.420	තට්ටු කරන්න
knickers	0.552	0.428	0.328	නිකර්
knife	0.344	0.717	0.573	පිහිය
knight	0.780	0.441	0.835	නයිට්වරයා
knighthood	0.740	0.660	0.769	නයිට් පදවිය
knit	0.630	0.144	0.295	knit
knob	0.340	0.360	0.272	බොත්තම්
knock	0.312	0.531	0.527	තට්ටු කරන්න
knockoff	0.350	0.606	0.240	knockoff
knockout	0.388	0.755	0.664	නොකවුට්
knoll	0.434	0.347	0.333	knoll
knot	0.541	0.221	0.408	ගැටය
knots	0.418	0.346	0.267	ගැට
knotted	0.226	0.412	0.294	ගැට ගැසී ඇත
know	0.765	0.361	0.704	දන්නවා
knowing	0.833	0.353	0.658	දැනගෙන
knowingly	0.500	0.459	0.481	දැන දැනම
knowledge	0.847	0.430	0.896	දැනුම
knowledgeable	0.865	0.455	0.971	දැනුමැති
knuckle	0.655	0.333	0.393	නකල්
knucklehead	0.157	0.485	0.288	නකල් හිස
knuckles	0.271	0.461	0.320	නකල්ස්
koala	0.608	0.210	0.311	කෝලා
kook	0.417	0.471	0.398	කුක්
kooky	0.418	0.582	0.366	කුකී
kool-aid	0.531	0.318	0.393	කූල් ආධාර
kos	0.500	0.471	0.407	කොස්
kosher	0.469	0.443	0.312	කොෂර්
kraut	0.388	0.500	0.390	kraut
kris	0.427	0.417	0.407	ක්රිස්
kryptonite	0.306	0.690	0.588	ක්රිප්ටෝනයිට්
kudos	0.925	0.587	0.642	පින්
kumquat	0.417	0.426	0.390	කුම්කට්
lab	0.479	0.500	0.600	රසායනාගාරය
label	0.582	0.245	0.423	ලේබලය
labor	0.594	0.639	0.754	කම්කරු
laboratory	0.571	0.490	0.537	රසායනාගාරය
labored	0.646	0.451	0.637	වෙහෙසුනා
laborer	0.561	0.510	0.698	කම්කරුවා
laboring	0.705	0.644	0.737	ශ්රමය
laborious	0.393	0.635	0.709	වෙහෙසකාරී
labyrinth	0.479	0.811	0.491	labyrinth
lac	0.408	0.418	0.331	ලක්
lace	0.625	0.200	0.293	ලේස්
laceration	0.143	0.667	0.443	කැඩීම
lack	0.250	0.365	0.242	හිඟය
lackey	0.260	0.510	0.166	බාලයා
lacking	0.229	0.375	0.121	අඩුයි
lackluster	0.250	0.311	0.264	නොපැහැදිලි
lacquer	0.510	0.353	0.258	ලැකර්
lacrosse	0.573	0.656	0.509	lacrosse
lactose	0.479	0.290	0.433	ලැක්ටෝස්
lad	0.637	0.388	0.336	කොල්ලා
ladder	0.560	0.438	0.358	ඉණිමඟ
laddie	0.668	0.539	0.391	නෝනා
laden	0.392	0.478	0.554	පැටවූ
lading	0.388	0.463	0.409	පැටවීම
ladle	0.531	0.368	0.352	හැළිය
lady	0.854	0.481	0.602	කාන්තාව
lady bug	0.490	0.434	0.381	කාන්තා දෝෂය
ladybug	0.602	0.400	0.224	ලේඩි බග්
ladylike	0.592	0.559	0.538	කාන්තාවක් වැනි
ladyship	0.561	0.480	0.822	කාන්තා
lag	0.220	0.375	0.246	ප්රමාදය
lager	0.584	0.480	0.353	lager
lagging	0.135	0.538	0.277	පසුගාමී
lagoon	0.660	0.231	0.373	කලපුව
lair	0.469	0.438	0.392	ගුහාව
laity	0.510	0.320	0.487	ගිහියන්
lake	0.694	0.196	0.425	විල
lama	0.560	0.320	0.400	ලාමා
lamb	0.646	0.284	0.321	බැටළු
lame	0.145	0.410	0.217	කොර
lament	0.198	0.398	0.352	විලාප තබයි
lamenting	0.156	0.390	0.254	විලාප දෙමින්
lamina	0.510	0.314	0.408	ලැමිනා
laminated	0.417	0.304	0.373	ලැමිෙන්ටඩ්
lamp	0.510	0.260	0.309	පහන
lamppost	0.420	0.337	0.455	පහන් කනුව
lance	0.406	0.620	0.587	ලේන්සුව
lancer	0.417	0.528	0.519	ලාන්සර්
land	0.582	0.260	0.616	ඉඞම්
landed	0.709	0.620	0.480	ගොඩ බැස්සා
landfall	0.521	0.434	0.407	ගොඩබිම
landfill	0.398	0.423	0.324	ගොඩකිරීම
landing	0.552	0.696	0.596	ගොඩබෑම
landlady	0.677	0.303	0.417	ඉඩම් හිමියා
landlocked	0.280	0.391	0.367	ගොඩබිම් සහිත
landlord	0.684	0.500	0.858	ඉඩම් හිමියා
landmark	0.694	0.355	0.681	බිම් සලකුණ
lands	0.594	0.280	0.492	ඉඩම්
landscape	0.719	0.176	0.423	භූ දර්ශනය
landscaping	0.823	0.379	0.519	භූමි අලංකරණය
landslide	0.250	0.864	0.530	නායයෑම
lane	0.449	0.490	0.451	මාර්ගය
language	0.677	0.337	0.704	භාෂාව
languid	0.281	0.270	0.283	කම්මැලි
languish	0.235	0.408	0.382	වෙහෙසෙනවා
languishing	0.308	0.459	0.353	දිරාපත් වෙමින්
lanky	0.412	0.426	0.370	ලන්කි
lantern	0.622	0.250	0.243	පහන් කූඩුව
lap	0.583	0.510	0.412	උකුල
lapdog	0.388	0.490	0.269	lapdog
lapel	0.460	0.287	0.288	උකුල
lapse	0.420	0.316	0.281	පසුබෑම
lapsed	0.357	0.333	0.276	අහිමි විය
laptop	0.724	0.270	0.519	ලැප්ටොප්
larceny	0.272	0.821	0.454	කොල්ලකෑම
lard	0.427	0.239	0.179	ඌරු ඌරු තෙල්
larder	0.656	0.290	0.509	පඩිපෙළ
large	0.704	0.565	0.736	මහා
larger	0.729	0.654	0.763	විශාල
largo	0.521	0.480	0.517	විශාල
lark	0.570	0.292	0.352	ලාර්ක්
larva	0.245	0.423	0.254	කීටයන්
laryngitis	0.125	0.500	0.370	ලැරින්ගයිටිස්
larynx	0.460	0.420	0.402	ස්වරාලය
lasagna	0.719	0.441	0.396	ලසඤ්ඤා
laser	0.469	0.531	0.769	ලේසර්
lash	0.235	0.794	0.609	කස පහර
lass	0.656	0.536	0.433	දැරිය
lasso	0.438	0.460	0.339	lasso
lastday	0.309	0.580	0.463	අවසන් දිනය
lasting	0.804	0.535	0.745	කල් පවතින
lastminute	0.418	0.582	0.385	අවසන් මිනිත්තුව
latch	0.395	0.263	0.288	අගුල
late	0.245	0.358	0.315	නැසීගිය
lateness	0.214	0.388	0.343	ප්රමාද වීම
latent	0.469	0.500	0.653	ගුප්ත
lateral	0.469	0.370	0.322	පාර්ශ්වීය
laterally	0.562	0.255	0.450	පාර්ශ්විකව
latex	0.479	0.413	0.325	රබර් කිරි
lathe	0.510	0.450	0.425	පට්ටල
lather	0.635	0.327	0.313	පෙනහළු
latitude	0.562	0.306	0.490	අක්ෂාංශ
latrine	0.380	0.353	0.176	වැසිකිළිය
latrines	0.214	0.462	0.267	වැසිකිළි
latte	0.615	0.320	0.311	ලැටේ
lattice	0.406	0.420	0.349	දැලිස්
laud	0.493	0.427	0.383	ප්රශංසා කරයි
laudable	0.740	0.472	0.682	ප්රශංසනීය
laudation	0.542	0.547	0.623	ප්රශංසා කිරීම
laudatory	0.612	0.417	0.450	ප්රශංසනීය
laugh	0.980	0.639	0.587	හිනා වෙනවා
laughable	0.592	0.627	0.298	හාස්‍යජනක ය
laughing	0.906	0.596	0.534	හිනා වෙනවා
laughingstock	0.427	0.779	0.312	සිනා සාගරය
laughs	0.812	0.846	0.425	සිනාසෙයි
laughter	0.959	0.654	0.588	සිනහව
launch	0.684	0.814	0.598	දියත් කිරීම
launcher	0.677	0.745	0.808	දියත් කරන්නා
